frame,track_id,direction,plate,confidence
60,1,AWAY,88TEY02,0.187
61,1,AWAY,887EY02,0.454
65,1,AWAY,887EY02,0.46
227,8,AWAY,782OM05,0.11
404,19,TOWARDS,909PKE05,0.158
414,19,TOWARDS,909EKE05,0.65
423,19,TOWARDS,909EKE05,0.773
429,3,AWAY,529EH40,0.134
434,3,AWAY,529EH40,0.178
435,3,AWAY,529EH40,0.29
436,3,AWAY,529EH40,0.404
447,3,AWAY,529EH40,0.707
458,67,,529EHA02,0.211
459,3,AWAY,529EHA02,0.829
465,69,,529EHA02,0.218
470,72,,529EH40,0.426
476,3,AWAY,529EH40,0.911
489,3,AWAY,529EH40,0.932
501,3,AWAY,529EH40,0.933
502,3,AWAY,529EHA02,0.995
937,109,TOWARDS,397AH02,0.434
2962,266,TOWARDS,421YM01,0.335
2973,266,TOWARDS,421YK01,0.375
2978,266,TOWARDS,421YK01,0.434
2983,266,TOWARDS,421YX01,0.586
2995,266,TOWARDS,421YY01,0.627
3002,266,TOWARDS,421YX01,0.65
3004,266,TOWARDS,421YX01,0.749
3054,296,AWAY,869AA21,0.106
3075,296,AWAY,869AA21,0.553
3078,296,AWAY,869AA27,0.654
3079,296,AWAY,869AA29,0.922
3079,354,,869AA21,0.232
3082,355,,869AA21,0.257
3083,355,AWAY,869AA21,0.466
3099,359,,869AA21,0.636
3103,360,,869AA21,0.719
3104,360,AWAY,869AA21,0.983
3125,365,,869AA21,0.4
3126,365,TOWARDS,869AA21,0.766
3129,296,AWAY,869AA21,0.977
3129,365,TOWARDS,869AA21,0.888
3130,365,TOWARDS,869AA21,0.914
3140,366,,869AA21,0.496
3320,336,TOWARDS,769AX00,0.301
3331,336,TOWARDS,69AX00,0.395
3347,336,TOWARDS,769AX00,0.544
3650,382,TOWARDS,70AKK02,0.241
